"name","dev-image","qa-image","uat-image","npd-image","prod-image","dev-replicas","qa-replicas","uat-replicas","npd-replicas","prod-replicas"
"account-link-api","snapshot:2025-01-16.466.4265f797","candidate:2025-01-15.465.2a2f1821","release:2025-01-15.465.2a2f1821","release:2025-01-15.465.2a2f1821","release:2025-01-15.465.2a2f1821","1","1","5","10","10"
"account-link-audit-processor","snapshot:2025-01-16.466.4265f797","candidate:2025-01-15.465.2a2f1821","release:2025-01-15.465.2a2f1821","release:2025-01-15.465.2a2f1821","release:2025-01-15.465.2a2f1821","1","1","1","1","1"
"account-link-email-publisher","snapshot:2025-01-16.466.4265f797","candidate:2025-01-15.465.2a2f1821","release:2025-01-15.465.2a2f1821","release:2025-01-15.465.2a2f1821","release:2025-01-15.465.2a2f1821","1","1","1","1","1"
"account-link-event-context-translator","snapshot:2025-02-24.952","candidate:2025-02-24.952","release:2025-02-24.952","release:2025-02-24.952","release:2025-02-18.951","1","3","3","3","3"
"account-link-event-processor","snapshot:2025-01-16.466.4265f797","candidate:2025-01-15.465.2a2f1821","release:2025-01-15.465.2a2f1821","release:2025-01-15.465.2a2f1821","release:2025-01-15.465.2a2f1821","1","1","1","1","1"
"account-settings-api","snapshot:2025-02-25.220.54070564","candidate:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","1","3","3","5","5"
"account-settings-audit-processor","snapshot:2025-02-25.220.54070564","candidate:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","1","1","1","1","1"
"account-settings-email-publisher","snapshot:2025-02-25.220.54070564","candidate:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","1","1","1","1","1"
"account-settings-event-orchestrator","snapshot:2025-02-25.220.54070564","candidate:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","1","1","1","1","1"
"account-settings-event-processor","snapshot:2025-02-25.220.54070564","candidate:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","1","1","1","1","1"
"account-settings-phonenumber-notification-generator","snapshot:2025-02-25.220.54070564","candidate:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","1","1","1","1","1"
"account-settings-phonenumber-orchestrator","snapshot:2025-02-25.220.54070564","candidate:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","1","1","1","1","3"
"account-settings-tcpa-workflow-processor","snapshot:2025-02-25.220.54070564","candidate:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","release:2025-02-03.217.4fb60cee","1","1","1","1","1"
