"name","image"
"account-link-api","candidate:2025-01-15.465.2a2f1821"
"account-link-audit-processor","candidate:2025-01-15.465.2a2f1821"
"account-link-email-publisher","candidate:2025-01-15.465.2a2f1821"
"account-link-event-context-translator","candidate:2025-02-24.952"
"account-link-event-processor","candidate:2025-01-15.465.2a2f1821"
"account-settings-api","candidate:2025-02-03.217.4fb60cee"
"account-settings-audit-processor","candidate:2025-02-03.217.4fb60cee"
"account-settings-email-publisher","candidate:2025-02-03.217.4fb60cee"
"account-settings-event-orchestrator","candidate:2025-02-03.217.4fb60cee"
"account-settings-event-processor","candidate:2025-02-03.217.4fb60cee"
"account-settings-phonenumber-notification-generator","candidate:2025-02-03.217.4fb60cee"
"account-settings-phonenumber-orchestrator","candidate:2025-02-03.217.4fb60cee"
"account-settings-tcpa-workflow-processor","candidate:2025-02-03.217.4fb60cee"
"account-settings-workflow-processor","candidate:2025-02-03.217.4fb60cee"
"address-api","candidate:2024-11-26.192.30d55257"
"address-audit-processor","candidate:2024-11-26.192.30d55257"
"address-email-publisher","candidate:2024-11-26.192.30d55257"
"address-event-orchestrator","candidate:2024-11-26.192.30d55257"
"address-event-processor","candidate:2024-11-26.192.30d55257"
"address-notification-generator","candidate:2024-11-26.192.30d55257"
"address-workflow-processor","candidate:2024-11-26.192.30d55257"
"addresses-event-builder-0202","candidate:2025-02-24.952"
"ags-application-adapter-api","candidate:2024-11-21.23.e7360a6b"
"balanced-billing-api","candidate:2024-12-24.56.58a15b43"
"balanced-billing-bc-event-builder","candidate:2025-02-24.952"
"balanced-billing-context-translator","candidate:2025-02-24.952"
"balanced-billing-event-builder","candidate:2024-10-25.719"
"balanced-billing-event-orchestrator","candidate:2024-12-24.56.58a15b43"
"balanced-billing-event-processor","candidate:2024-12-24.56.58a15b43"
"balanced-billing-mail-publisher","candidate:2024-12-24.56.58a15b43"
"bank-account-api","candidate:2025-01-30.225.79429936"
"bank-account-audit-event-processor","candidate:2025-01-30.225.79429936"
"bank-account-context-translator","candidate:2025-02-24.952"
"bank-account-event-builder","candidate:2024-10-25.719"
"bank-account-event-builder-v2","candidate:2025-02-24.952"
"bank-account-event-consumer","candidate:2024-10-08.199.7decc428"
"bank-account-event-orchestrator","candidate:2025-01-30.225.79429936"
"bank-account-workflow-event-processor","candidate:2025-01-30.225.79429936"
"bank-routing-details-event-builder","candidate:2024-10-25.719"
"bank-routing-details-event-builder-v2","candidate:2025-02-24.952"
"bill-api","candidate:2025-02-11.172.92808857"
"bill-consumer","candidate:2025-02-11.172.92808857"
"bill-delivery-event-builder","candidate:2024-10-25.719"
"bill-event-builder","candidate:2025-02-24.952"
"billing-account-address-key-event-builder-0201","candidate:2025-02-24.952"
"billing-account-api","candidate:2025-02-13.351.e4b0f424"
"billing-account-audit-processor","candidate:2025-02-13.351.e4b0f424"
"billing-account-event-builder","candidate:2025-02-24.952"
"billing-account-event-builder-customer-number-load","candidate:2025-02-24.952"
"billing-account-event-consumer","candidate:2025-02-13.351.e4b0f424"
"bulk-pay-event-processor","candidate:2025-02-24.237.2356d009"
"cancel-payment-api","candidate:2025-02-06.85.6cf4475f"
"cancel-payment-completed-event-context-translator","candidate:2025-02-24.952"
"cancel-payment-event-consumer","candidate:2025-02-06.85.6cf4475f"
"cancel-payment-event-processor","candidate:2025-02-06.85.6cf4475f"
"collection-activity-api","candidate:2024-12-05.40.c1d75496"
"collection-activity-event-builder","candidate:2025-02-24.952"
"collection-activity-graphql-api","candidate:2024-12-05.40.c1d75496"
"collection-detail-event-builder","candidate:2025-02-24.952"
"collection-detail-event-builder-v2","candidate:2025-02-24.952"
"collection-header-event-builder","candidate:2025-02-24.952"
"collection-header-event-builder-v2","candidate:2025-02-24.952"
"collection-info-event-builder","candidate:2025-02-24.952"
"collections-arrangement-api","candidate:2025-02-24.146.5d5729f7"
"collections-arrangement-audit-processor","candidate:2025-02-24.146.5d5729f7"
"collections-arrangement-consumer","candidate:2025-02-24.146.5d5729f7"
"collections-arrangement-context-translator","candidate:2025-02-24.952"
"collections-arrangement-derived-field-consumer","candidate:2025-02-24.146.5d5729f7"
"collections-arrangement-event-orchestrator","candidate:2025-02-24.146.5d5729f7"
"collections-arrangement-event-processor","candidate:2025-02-24.146.5d5729f7"
"collections-arrangement-workflow-event-processor","candidate:2025-02-24.146.5d5729f7"
"create-customer-context-translator","candidate:2025-02-24.952"
"create-user-context-translator","candidate:2025-02-24.952"
"credit-source-event-builder","candidate:2025-02-24.952"
"customer-info-api","candidate:2025-02-12.421.69de41e8"
"customer-info-audit-processor","candidate:2025-02-12.421.69de41e8"
"customer-info-event-builder","candidate:2025-02-24.952"
"customer-info-event-orchestrator","candidate:2025-02-12.421.69de41e8"
"customer-info-event-processor","candidate:2025-02-12.421.69de41e8"
"derived-field-priority-worker","candidate:2025-02-12.255.97e7f231"
"derived-field-scheduler","candidate:2025-02-12.255.97e7f231"
"derived-field-worker","candidate:2025-02-12.255.97e7f231"
"direct-pay-api","candidate:2025-02-24.154.2496fcbe"
"direct-pay-audit-processor","candidate:2025-02-24.154.2496fcbe"
"direct-pay-consumer","direct-pay-consumer"
"direct-pay-data-load-event-processor","candidate:2025-02-20.142.797ef83a"
"direct-pay-enrolment-event-builder","candidate:2025-02-24.952"
"direct-pay-event-builder","candidate:2025-02-24.952"
"direct-pay-event-orchestrator","candidate:2025-02-24.154.2496fcbe"
"direct-pay-event-processor","candidate:2025-02-24.154.2496fcbe"
"direct-pay-un-enrollment-workflow-processor","candidate:2025-02-24.154.2496fcbe"
"direct-pay-unenrollment-context-translator","candidate:2025-02-24.952"
"direct-pay-unenrollment-event-builder-0201","candidate:2025-02-24.952"
"direct-pay-unenrollment-event-builder-1231","candidate:2025-02-24.952"
"direct-pay-unenrollment-event-builder-1232","candidate:2025-02-24.952"
"energy-insights-api","candidate:2025-02-19.69.38dbb893"
"energy-usage-api","candidate:2025-01-16.48.5d501401"
"energy-usage-consumer","candidate:2024-06-07.31.3b8d47d9"
"energy-usage-event-processor","candidate:2025-01-16.48.5d501401"
"esco-comparison-event-builder-1295","candidate:2025-02-24.952"
"esco-marketer-address-event-builder-1262","candidate:2025-02-24.952"
"financial-transaction-header-event-builder","candidate:2025-02-24.952"
"fuel-service-processor","candidate:2025-02-11.125.6884e945"
"identity-check-context-translator","candidate:2025-02-03.75.7bfb3f46"
"mailing-address-update-context-translator","candidate:2025-02-24.952"
"meter-api","candidate:2025-02-11.125.6884e945"
"meter-info-event-builder","candidate:2025-02-24.952"
"meter-point-event-builder","candidate:2025-02-24.952"
"meter-service-processor","candidate:2025-02-11.125.6884e945"
"notification-application-service-api","candidate:2024-11-28.37.368f9b81"
"notification-application-service-consumer","candidate:2024-11-28.37.368f9b81"
"opower-provider-api","candidate:2025-02-14.64.0481fac3"
"opt-in-api","candidate:2025-02-03.263.2fb3175d"
"outage-preference-api","candidate:2025-02-24.14.741e6550"
"paperless-billing-api","candidate:2024-12-09.75.fd9c8355"
"paperless-billing-audit-processor","candidate:2024-12-09.75.fd9c8355"
"paperless-billing-bill-form-event-builder","candidate:2025-02-24.952"
"paperless-billing-context-translator","candidate:2025-02-24.952"
"paperless-billing-event-builder","candidate:2025-02-24.952"
"paperless-billing-event-orchestrator","candidate:2024-12-09.75.fd9c8355"
"paperless-billing-event-processor","candidate:2024-12-09.75.fd9c8355"
"paperless-billing-mail-publisher","candidate:2024-12-09.75.fd9c8355"
"pay-by-bank-api","candidate:2025-02-24.237.2356d009"
"pay-by-bank-context-translator","candidate:2025-02-24.952"
"pay-by-bank-context-translator-v2","candidate:2025-02-24.952"
"pay-by-bank-event-orchestrator","candidate:2025-02-24.237.2356d009"
"pay-by-bank-event-processor","candidate:2025-02-24.237.2356d009"
"payment-api","candidate:2025-01-27.113.0c534c54"
"payment-consumer","candidate:2025-01-27.113.0c534c54"
"payment-data-sync-api","candidate:2025-01-27.113.0c534c54"
"payment-event-processor","candidate:2025-01-27.113.0c534c54"
"payment-plan-api","candidate:2025-01-27.503.a6b49df4"
"payment-plan-consumer","candidate:2025-01-27.503.a6b49df4"
"payment-plan-derived-field-consumer","candidate:2025-01-27.503.a6b49df4"
"payment-plan-detail-audit-processor","candidate:2025-01-27.503.a6b49df4"
"payment-plan-enrollment-context-translator","candidate:2025-02-24.952"
"payment-plan-event-builder","candidate:2025-01-03.874"
"payment-plan-event-builder-v2","candidate:2025-02-24.952"
"payment-plan-event-orchestrator","candidate:2025-01-27.503.a6b49df4"
"payment-plan-workflow-event-processor","candidate:2025-01-27.503.a6b49df4"
"payment-reminder-api","candidate:2025-02-17.133.ccd57071"
"payment-reminder-audit-processor","candidate:2025-02-17.133.ccd57071"
"payment-reminder-event-processor","candidate:2025-02-17.133.ccd57071"
"phone-number-update-context-translator","candidate:2025-02-24.952"
"preferences-api","candidate:2024-07-30.39.62900763"
"premise-address-processor","candidate:2025-02-24.166.ebeca8c4"
"premise-api","candidate:2025-02-24.166.ebeca8c4"
"premise-meter-processor","candidate:2025-02-24.166.ebeca8c4"
"premise-processor","candidate:2025-02-24.166.ebeca8c4"
"premise-updated-event-builder","candidate:2025-02-24.952"
"premise-validator-processor","candidate:2025-02-24.166.ebeca8c4"
"price-usage-event-builder","candidate:2025-02-24.952"
"price-usage-service-processor","candidate:2025-02-11.125.6884e945"
"recurring-pay-api","candidate:2025-02-25.234.a6dafb4d"
"recurring-pay-audit-processor","candidate:2025-02-25.234.a6dafb4d"
"recurring-pay-consumer","candidate:2025-02-25.234.a6dafb4d"
"recurring-pay-consumer-v2","candidate:2024-08-28.13.e1fb961c"
"recurring-pay-context-translator","candidate:2025-02-24.952"
"recurring-pay-enrollment-workflow-processor","candidate:2025-02-25.234.a6dafb4d"
"recurring-pay-event-builder","candidate:2025-02-24.952"
"recurring-pay-event-builder-v2","candidate:2025-02-24.952"
"recurring-pay-event-orchestrator","candidate:2025-02-25.234.a6dafb4d"
"recurring-pay-event-processor","candidate:2025-02-25.234.a6dafb4d"
"recurring-pay-reenroll-event-orchestrator","candidate:2025-02-25.234.a6dafb4d"
"recurring-pay-reenrollment-workflow-processor","candidate:2025-02-25.234.a6dafb4d"
"recurring-pay-unenrollment-workflow-processor","candidate:2025-02-25.234.a6dafb4d"
"salesforce-adapter-api","candidate:2024-07-26.14.7cd6998c"
"service-address-event-builder","candidate:2025-02-24.952"
"service-address-updated-event-builder","candidate:2025-02-24.952"
"service-order-api","candidate:2025-02-19.424.f67fd7d3"
"service-order-derived-field-workflow-processor","candidate:2025-02-19.424.f67fd7d3"
"service-order-eligibility-workflow-processor","candidate:2024-07-29.115.74f61610"
"service-order-event-builder","candidate:2025-02-24.952"
"service-order-workflow-processor","candidate:2025-02-19.424.f67fd7d3"
"service-point-info-event-builder","candidate:2025-02-24.952"
